feature,feature_value,contribution,note
RecentWinPercDiff,-0.20999999999999996,-0.5766915827443484,Positive → toward Fighter A; Negative → toward Fighter B
PowerVsSchedule,0.11000000000000004,0.3699097549041754,Positive → toward Fighter A; Negative → toward Fighter B
PunchAccDiff,-16.0,-0.29547339152442703,Positive → toward Fighter A; Negative → toward Fighter B
AgeDiff,-6.0,0.2438407566474684,Positive → toward Fighter A; Negative → toward Fighter B
RecentFormWeighted,-0.15749999999999997,0.2371287613221215,Positive → toward Fighter A; Negative → toward Fighter B
SoSDiff,-1.0,0.14182151606465604,Positive → toward Fighter A; Negative → toward Fighter B
DefenseDiff,-8.0,-0.11825916360798772,Positive → toward Fighter A; Negative → toward Fighter B
TimeSinceDiff,60.0,0.07545109298541085,Positive → toward Fighter A; Negative → toward Fighter B
ReachDiff,-3.0,-0.046743528729301,Positive → toward Fighter A; Negative → toward Fighter B
KODiff,-0.11000000000000004,0.04342057489079005,Positive → toward Fighter A; Negative → toward Fighter B
