feature,feature_value,contribution,note
PunchAccDiff,-4.0,-0.3929650319254515,Positive → toward Fighter A; Negative → toward Fighter B
SoSDiff,-1.0,0.2675670967242785,Positive → toward Fighter A; Negative → toward Fighter B
DefenseDiff,4.0,0.23880303051683213,Positive → toward Fighter A; Negative → toward Fighter B
ReachDiff,-12.0,0.2291394180379922,Positive → toward Fighter A; Negative → toward Fighter B
RecentWinPercDiff,0.0,0.21396918132628662,Positive → toward Fighter A; Negative → toward Fighter B
KODiff,0.32999999999999996,0.157087699489143,Positive → toward Fighter A; Negative → toward Fighter B
PowerVsSchedule,-0.32999999999999996,0.13223529449430987,Positive → toward Fighter A; Negative → toward Fighter B
AgeDiff,-8.0,0.0856791575313603,Positive → toward Fighter A; Negative → toward Fighter B
WinsVsSchedule,23.0,0.07001096815129086,Positive → toward Fighter A; Negative → toward Fighter B
TimeSinceDiff,0.0,-0.0657620936607571,Positive → toward Fighter A; Negative → toward Fighter B
