Fighter,Note,Height_wiki,Reach_wiki,Height_csv,Reach_csv,Weight_csv
Larry Holmes,,191.0,206.0,191.0,206.0,212.0
Edward Vazquez,⚠️ Not found on Wikipedia,,,,,
Jeff Horn,,175.0,177.0,175.0,177.0,154.0
Ray Mancini,,164.0,165.0,164.0,165.0,154.0
Joe Walcott,"Reach differs (CSV=188, Wiki=165.0) | ",,165.0,183.0,188.0,158.7
Ricky Hatton,,168.0,165.0,168.0,165.0,154.0
Jesse Rodriguez,,163.0,170.0,163.0,170.0,154.0
Tony Bellew,,191.0,188.0,191.0,188.0,199.2
Zab Judah,,170.0,183.0,170.0,183.0,154.0
Prince Naseem Hamed,,160.0,160.0,160.0,160.0,154.0
Felix Sturm,,,,185.0,185.0,160.0
Carlos Palomino,,177.0,181.0,177.0,181.0,154.3
Wilfredo Gomez,,166.0,169.0,166.0,169.0,154.0
Jose Napoles,,171.0,183.0,171.0,183.0,154.3
Frankie Randall,,175.0,173.0,175.0,173.0,152.1
Pernell Whitaker,,168.0,175.0,168.0,175.0,154.0
Artur Beterbiev,,182.0,185.0,182.0,185.0,175.0
Henry Armstrong,,166.0,170.0,166.0,170.0,154.0
Gervonta Davis,,165.0,171.0,165.0,171.0,154.0
Juan Manuel Lopez,,166.0,175.0,166.0,175.0,154.0
Johnny Bratton,⚠️ Not found on Wikipedia,,,,,
Jermell Charlo,,180.0,185.0,180.0,185.0,154.0
Peter Quillin,,180.0,184.0,180.0,184.0,160.0
David Light,,,,188.0,193.0,199.5
David Benavidez,,188.0,189.0,188.0,189.0,166.8
Genaro Hernandez,,180.0,183.0,180.0,183.0,154.0
Ryan Garcia,,178.0,178.0,178.0,178.0,154.0
Edwin Rodriguez,,,190.0,183.0,190.0,168.0
Joe Smith Jr.,,183.0,193.0,183.0,193.0,175.0
James Kirkland,,175.0,178.0,175.0,178.0,154.0
Andres Campos,,161.0,164.0,161.0,164.0,154.0
Adrien Broner,,169.0,177.0,169.0,177.0,154.0
Carl Frampton,,165.0,157.0,165.0,157.0,154.0
Paul Banke,,164.0,165.0,164.0,165.0,154.0
Jordan Thompson,,198.0,,198.0,193.0,199.6
Lucian Bute,,187.0,183.0,187.0,183.0,168.0
James Toney,,175.0,188.0,175.0,188.0,154.3
James DeGale,,185.0,188.0,185.0,188.0,168.0
Carlos Monzón,,,,180.0,193.0,160.0
Gerald McClellan,,185.0,196.0,185.0,196.0,158.7
Ishe Smith,,178.0,180.0,178.0,180.0,154.0
Canelo Alvarez,,171.0,179.0,171.0,179.0,160.0
Ricardo Torres,,173.0,170.0,173.0,170.0,154.0
Marco Antonio Barrera,,168.0,178.0,168.0,178.0,154.0
Ricardo Mayorga,"Reach differs (CSV=188, Wiki=174.0) | ",178.0,174.0,180.0,188.0,158.7
Anthony Yarde,,180.0,183.0,180.0,183.0,175.0
Tim Tszyu,,175.0,179.0,175.0,179.0,153.5
Shakur Stevenson,,173.0,173.0,173.0,173.0,154.0
Eder Jofre,,,,181.0,173.0,154.0
Emile Griffith,,169.0,183.0,169.0,183.0,156.5
